Price,Close,High,Low,Open,Volume
Ticker,002664.SZ,002664.SZ,002664.SZ,002664.SZ,002664.SZ
Date,,,,,
2025-07-30,21.75,22.700000762939453,21.639999389648438,22.209999084472656,15587918
2025-07-31,21.510000228881836,21.969999313354492,21.280000686645508,21.5,14346800
2025-08-01,21.15999984741211,21.6200008392334,20.829999923706055,21.40999984741211,12415325
2025-08-04,22.0,22.18000030517578,20.809999465942383,21.0,13240140
2025-08-05,22.239999771118164,22.799999237060547,21.780000686645508,22.010000228881836,13316583
2025-08-06,22.790000915527344,23.3799991607666,21.850000381469727,22.139999389648438,24156643
2025-08-07,22.200000762939453,23.299999237060547,21.809999465942383,23.110000610351562,23261000
2025-08-08,24.420000076293945,24.420000076293945,22.0,22.18000030517578,36519318
2025-08-11,23.600000381469727,24.360000610351562,22.829999923706055,24.360000610351562,43745725
2025-08-12,22.959999084472656,23.75,22.90999984741211,23.5,23997563
2025-08-13,23.530000686645508,23.68000030517578,22.700000762939453,22.799999237060547,20191395
2025-08-14,22.860000610351562,23.559999465942383,22.639999389648438,23.440000534057617,17274447
2025-08-15,23.729999542236328,24.0,22.760000228881836,22.760000228881836,20941700
2025-08-18,25.110000610351562,25.1299991607666,24.209999084472656,24.829999923706055,26474156
2025-08-19,27.0,27.6200008392334,24.229999542236328,25.010000228881836,49111353
2025-08-20,26.020000457763672,26.809999465942383,25.579999923706055,26.450000762939453,31777659
2025-08-21,25.979999542236328,27.280000686645508,25.860000610351562,26.040000915527344,25411347
2025-08-22,26.65999984741211,27.149999618530273,25.600000381469727,26.170000076293945,20701330
2025-08-25,28.030000686645508,29.06999969482422,27.040000915527344,27.170000076293945,28377759
2025-08-26,27.399999618530273,28.030000686645508,27.25,27.799999237060547,18399966
2025-08-27,26.200000762939453,27.760000228881836,26.200000762939453,27.5,16523336
2025-08-28,25.90999984741211,26.65999984741211,25.200000762939453,26.209999084472656,14855603
2025-08-29,27.43000030517578,27.790000915527344,25.8799991607666,26.299999237060547,17643991
2025-09-01,27.260000228881836,28.020000457763672,27.0,27.15999984741211,12641678
2025-09-02,27.65999984741211,29.0,24.8799991607666,27.549999237060547,36136476
2025-09-03,26.0,28.65999984741211,25.850000381469727,28.510000228881836,24822764
2025-09-04,25.0,26.469999313354492,24.520000457763672,26.209999084472656,15887614
2025-09-05,25.75,25.8799991607666,24.889999389648438,25.049999237060547,10768845
2025-09-08,27.610000610351562,28.139999389648438,25.610000610351562,25.68000030517578,20289376
2025-09-09,28.3700008392334,28.989999771118164,27.049999237060547,27.3700008392334,18046500
2025-09-10,27.649999618530273,28.979999542236328,27.399999618530273,28.389999389648438,15968859
2025-09-11,29.280000686645508,29.979999542236328,27.5,27.6299991607666,17336581
2025-09-12,28.739999771118164,29.649999618530273,28.65999984741211,29.450000762939453,12957475
2025-09-15,30.09000015258789,30.889999389648438,28.709999084472656,28.739999771118164,18626454
2025-09-16,31.110000610351562,31.959999084472656,29.959999084472656,30.1200008392334,22153800
2025-09-17,33.31999969482422,33.970001220703125,31.030000686645508,31.489999771118164,21035178
2025-09-18,32.13999938964844,35.630001068115234,31.639999389648438,33.720001220703125,30213121
2025-09-19,30.579999923706055,31.969999313354492,30.389999389648438,31.799999237060547,17392530
2025-09-22,32.20000076293945,32.290000915527344,30.700000762939453,30.700000762939453,13696168
2025-09-23,32.5099983215332,33.29999923706055,31.540000915527344,32.31999969482422,13991560
2025-09-24,31.93000030517578,32.349998474121094,31.209999084472656,32.29999923706055,10613995
2025-09-25,31.06999969482422,32.66999816894531,30.81999969482422,32.0,12508350
2025-09-26,30.1299991607666,31.600000381469727,30.0,30.739999771118164,11970227
2025-09-29,31.65999984741211,31.969999313354492,30.059999465942383,30.239999771118164,12264162
2025-09-30,30.8799991607666,31.59000015258789,30.59000015258789,31.540000915527344,8799600
2025-10-09,30.299999237060547,31.110000610351562,29.81999969482422,30.8799991607666,11289000
2025-10-10,29.940000534057617,31.329999923706055,29.65999984741211,30.0,10095550
2025-10-13,31.1299991607666,31.5,27.799999237060547,27.799999237060547,18313907
2025-10-14,29.190000534057617,31.549999237060547,28.860000610351562,31.5,13898100
2025-10-15,32.11000061035156,32.11000061035156,29.079999923706055,29.59000015258789,17274986
2025-10-16,30.8700008392334,31.530000686645508,30.739999771118164,31.110000610351562,22854677
2025-10-17,30.399999618530273,32.5,30.0,30.969999313354492,20341203
2025-10-20,32.52000045776367,33.25,30.969999313354492,31.209999084472656,24811095
2025-10-21,31.959999084472656,33.119998931884766,31.809999465942383,32.970001220703125,14719800
